State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Nagaland,PHEK,Tapioca,2017,Kharif     ,180.0,3650.0,20.28
Andhra Pradesh,RANGAREDDI,Banana,2005,Whole Year ,40.0,836.0,20.9
Assam,JORHAT,Sweet potato,2011,Whole Year ,74.0,244.0,3.3
Jammu and Kashmir,UDHAMPUR,Rapeseed &Mustard,2006,Rabi       ,2833.0,2079.0,0.73
Nagaland,PHEK,Tapioca,2019,Kharif     ,200.0,4052.0,20.26
Rajasthan,BANSWARA,Masoor,2008,Rabi       ,5.0,4.0,0.8
West Bengal,HOOGHLY,Peas & beans (Pulses),2004,Rabi       ,554.0,414.0,0.75
Uttar Pradesh,AMETHI,Coriander,2012,Rabi       ,29.0,15.0,0.52
West Bengal,PURULIA,Linseed,2011,Rabi       ,417.0,80.0,0.19
West Bengal,HOWRAH,Coconut ,2007,Whole Year ,2895.0,30687000.0,10600.0
Uttarakhand,ALMORA,Barley,2014,Rabi       ,2692.0,2778.0,1.03
Nagaland,WOKHA,Castor seed,1999,Kharif     ,220.0,160.0,0.73
Rajasthan,KOTA,Cotton(lint),2010,Kharif     ,2.0,6.0,2.94
Uttarakhand,HARIDWAR,Gram,2003,Rabi       ,28.0,22.0,0.79
Tamil Nadu,KANCHIPURAM,Maize,2006,Whole Year ,5.0,13.0,2.6
Assam,GOLAGHAT,Tapioca,1998,Whole Year ,7.0,28.0,4.0
West Bengal,BIRBHUM,Masoor,2011,Rabi       ,5803.0,3658.0,0.63
Andhra Pradesh,KADAPA,Arhar/Tur,2018,Rabi       ,121.0,17.0,0.14
Bihar,SUPAUL,Groundnut,2012,Kharif     ,10.0,10.0,1.0
Madhya Pradesh,REWA,Maize,2010,Kharif     ,1161.0,837.0,0.72
Madhya Pradesh,BURHANPUR,Banana,2009,Whole Year ,7336.0,467962.0,63.79
Uttar Pradesh,UNNAO,Linseed,2010,Rabi       ,81.0,37.0,0.46
Gujarat,KHEDA,Castor seed,2006,Kharif     ,7900.0,11900.0,1.51
West Bengal,BANKURA,Rice,2013,Autumn     ,19717.0,50308.0,2.55
Bihar,PURBI CHAMPARAN,Peas & beans (Pulses),2015,Rabi       ,223.0,235.0,1.05
Andhra Pradesh,MAHBUBNAGAR,Groundnut,1999,Kharif     ,90584.0,31704.0,0.35
Madhya Pradesh,DHAR,Peas & beans (Pulses),2008,Rabi       ,789.0,315.0,0.4
Bihar,MADHUBANI,Sesamum,2011,Kharif     ,223.0,199.0,0.89
Rajasthan,KOTA,Dry chillies,2013,Whole Year ,14.0,8.0,0.57
Andhra Pradesh,CHITTOOR,Rice,2005,Kharif     ,16240.0,37173.0,2.29
West Bengal,DINAJPUR UTTAR,Turmeric,2005,Whole Year ,1088.0,2040.0,1.88
Bihar,MADHUBANI,Moong(Green Gram),2004,Summer     ,10725.0,6199.0,0.58
Kerala,PATHANAMTHITTA,Tapioca,2001,Whole Year ,8833.0,199315.0,22.56
Madhya Pradesh,KHANDWA,Banana,2010,Whole Year ,17.0,752.0,44.24
Tamil Nadu,TUTICORIN,Small millets,2016,Rabi       ,21.0,18.0,0.86
Tripura,SOUTH TRIPURA,Cotton(lint),2000,Kharif     ,195.0,286.0,1.47
Chhattisgarh,BILASPUR,Ginger,2004,Whole Year ,48.0,50.0,1.04
Tamil Nadu,TUTICORIN,Turmeric,2007,Whole Year ,4.0,21.0,5.25
Maharashtra,AHMEDNAGAR,Gram,2015,Rabi       ,135100.0,54300.0,0.4
Maharashtra,AMRAVATI,Soyabean,2014,Kharif     ,370600.0,128300.0,0.35
